price	pred_price	std
3200	3442.67	88.92
1990	2065.04	44.82
740	725.08	15.26
699	637.83	13.94
990	937.54	23.54
2230	2167.85	46.65
3470	3493.37	70.85
540	569.27	10.35
2450	2422.5	51.95
3300	3311.83	86.6
499	430.53	12.15
2350	2320.57	46.55
580	540.68	16.04
1350	1320.09	29.91
1580	1678.81	32.75
3700	3859.72	83.51
620	641.1	14.21
860	876.23	18.07
799	824.01	19.78
1090	1125.02	21.78
4050	4089.26	95.23
720	622.42	16.74
330	297.76	12.55
3190	3068.79	69.19
1990	1984.55	46.58
1580	1502.84	26.71
900	845.47	21.36
2630	2583.6	52.36
1150	1089.12	22.31
930	1023.76	21.55
1360	1116.28	18.07
1190	1125.78	24.99
2250	2152.39	41.28
1510	1403.8	26.62
2499	2461.7	51.5
2987	2885.78	62.1
810	799.39	14.44
1090	1039.31	22.54
799	754.71	17.77
1470	1364.84	29.77
1270	1247.22	26.7
430	428.18	9.92
590	562.16	12.85
1390	1452.9	28.7
1200	1282.62	22.81
620	641.05	19.89
690	673.19	15.69
880	866.32	18.86
1699	1593.8	33.03
423	377.31	10.58
1180	1211.73	26.09
4390	4101.02	130.3
1050	1168.58	23.59
1790	1895.76	42.51
1050	976.46	20.35
1380	1501.72	27.65
780	720.3	16.77
1170	1094.62	20.35
890	789.62	18.77
1340	1206.89	25.94
1240	1135.45	18.93
920	800.77	18.08
2150	2338.45	55.83
1190	1038.36	23.48
1520	1480.13	24.81
1550	1574.79	29.88
1100	1086.19	22.54
730	888.91	20.94
859	860.76	15.89
1730	1947.2	44.66
2430	2306.25	51.02
1090	1081.66	18.81
1130	1167.6	26.99
1650	1565.14	30.94
2490	2412.52	43.92
1380	1411.36	28.53
970	906.83	21.08
950	842.31	26.22
790	777.29	16.98
670	605.96	17.96
690	637.64	12.59
2390	2323.05	40.85
1180	997.28	24.5
2130	2145.58	46
2090	2093.45	43.01
1660	1633.05	32.43
1950	1871.04	32.5
1490	1546.2	35.11
730	683.77	15.24
780	774.12	16.09
1080	1193.64	24.06
330	321.13	15.79
370	348.3	10.15
1240	1333.29	40.89
750	697.46	12.43
1045	1064.05	20.01
1530	1575.02	30.31
2280	2085.47	39.73
790	694.23	17.43
1020	1117.55	26.3
2270	2187.62	44.57
3050	3010.44	59.69
1780	1753.54	32.51
3140	3341.77	72
2531	2563.03	42.79
950	998.42	22.61
500	449.23	10.87
1390	1428.39	26.61
2750	2867.27	69.51
1390	1374.63	29.81
860	845.69	18.92
1890	1900.64	39.47
1350	1340.91	31.27
2730	2710.15	57.48
790	910.39	20.22
950	1032.35	21.01
410	417.87	8.65
580	604.61	11.67
750	772.67	33.86
3030	3264.78	67.34
1190	1248.48	26.28
1100	1151.05	25.67
3160	3150.07	60.06
920	946.31	22.8
650	573.09	13.05
1820	1776.73	39.39
2729	2850.79	60.1
590	646.05	13.3
1840	1684.74	35.98
1370	1454.04	28.59
1090	1062.89	20.29
590	703.01	16.38
2990	2827.15	51.29
1870	1836.62	40.53
2690	2744.04	55.67
3490	3543.8	65.33
350	393.89	9.65
250	243.21	8.57
1670	1746.86	36.28
1290	1248.19	27.49
2450	2521.8	49.27
2080	1909.18	37.1
2390	2292.95	35.11
1300	1301.35	28.88
320	324.65	11.76
1460	1317.56	22.98
1050	1037.67	23.73
1090	992.08	20.32
1350	1383.92	34.76
470	483.9	13.96
690	652.8	16.19
1990	1879.76	36.81
880	814.23	16.52
1280	1295.35	25.04
1010	877.97	17.2
2550	2521.29	58.16
370	334.69	8.72
1880	1787.71	27.89
1420	1368.32	32.76
2900	2769.12	57.55
640	609.25	17.43
1180	1123.91	25.27
690	634.27	11.2
1430	1507.04	29.42
600	653.35	14.49
290	329.11	11.2
730	735.39	13.93
1550	1518.2	31.97
1280	1277.83	24.25
670	659.18	17.27
1050	988.65	20.87
590	615.14	14.32
1030	1000.55	17.32
960	913.01	17.37
1890	1876.22	37.59
1070	1013.48	25.59
690	777.49	17.21
960	898.01	26.79
1899	1889.81	38.81
2640	2728.2	56
1360	1297.47	34.25
2320	2290.67	49.16
900	883.1	18.45
2080	2166.15	45.13
2190	2192.06	40.8
1160	1087.09	28.87
360	317.46	20.71
920	901.85	19.35
1260	1335.96	25.25
1235	1384.96	27.21
2280	2479.54	40.95
430	455.15	9.55
890	886.6	19.29
2250	2385.33	39.14
1090	1008.65	24.45
560	504.89	12.24
650	695.34	14.4
850	912.49	19.64
590	631.13	13.61
340	369.88	10.29
499	496.31	11.25
850	877.24	24.87
1720	1751.79	37.43
860	860.37	20.01
930	889.44	19.48
890	780.57	17.59
1320	1343.49	25.8
1650	1689.93	39.69
1690	1602.12	34.42
560	567.58	13.28
3650	3416.43	78.11
490	467.88	11.56
1520	1527.95	30.01
1350	1393.23	25.69
2620	2621.4	51.55
499	525.45	16.1
470	492.99	11.43
1650	1594.13	39.34
860	838.28	13.7
950	968	22.11
1170	1261.82	30.17
2490	2888.15	75.61
760	813.79	14.13
630	663.79	14.8
1680	1586.94	27.47
490	546.23	14.92
1049	1133.05	28.02
1580	1529.01	30.33
970	945.24	18.32
2590	2700.12	54.58
550	521.6	12.33
599	647.2	13.26
2770	2744.78	64.73
