model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
11956.0,,,,,,,,,,,,,,,,,
11961.0,,,,,,,,,,,,,,,,,
11962.0,,,,,,,,,,,,,,,,,
11990.0,,,,,,,,,,,,,,,,,
11991.0,,,,,,,,,,,,,,,,,
11992.0,,,,,,,,,,,,,,,,,
11993.0,,,,,,,,,,,,,,,,,
11994.0,,,,,,,,,,,,,,,,,
11995.0,,,,,,,,,,,,,,,,,
11996.0,,,,,,,,,,,,,,,,,
11997.0,,,,,,,,,,,,,,,,,
11998.0,,,,,,,,,,,,,,,,,
11999.0,,,,,,,,,,,,,,,,,
12000.0,,,,,,,,,,,,,,,,,
12001.0,,,,,,,,,,,,,,,,,
12002.0,,,,,,,,,,,,,,,,,
12003.0,,,,,,,,,,,,,,,,,
12004.0,,,,,,,,,,,,,,,,,
12006.0,,,,,,,,,,,,,,,,,
12008.0,,,,,,,,,,,,,,,,,
12009.0,,,,,,,,,,,,,,,,,
12011.0,,,,,,,,,,,,,,,,,
12012.0,,,,,,,,,,,,,,,,,
12013.0,,,,,,,,,,,,,,,,,
12014.0,,,,,,,,,,,,,,,,,
12015.0,,,,,,,,,,,,,,,,,
12017.0,,,,,,,,,,,,,,,,,
12018.0,,,,,,,,,,,,,,,,,
12029.0,,,,,,,,,,,,,,,,,
12032.0,,,,,,,,,,,,,,,,,
12035.0,,,,,,,,,,,,,,,,,
12037.0,,,,,,,,,,,,,,,,,
12038.0,,,,,,,,,,,,,,,,,
12042.0,,,,,,,,,,,,,,,,,
12046.0,,,,,,,,,,,,,,,,,
12058.0,,,,,,,,,,,,,,,,,
12073.0,,,,,,,,,,,,,,,,,
12074.0,,,,,,,,,,,,,,,,,
12076.0,,,,,,,,,,,,,,,,,
12078.0,,,,,,,,,,,,,,,,,
12079.0,,,,,,,,,,,,,,,,,
12080.0,,,,,,,,,,,,,,,,,
12081.0,,,,,,,,,,,,,,,,,
12082.0,,,,,,,,,,,,,,,,,
12083.0,,,,,,,,,,,,,,,,,
12088.0,,,,,,,,,,,,,,,,,
12099.0,,,,,,,,,,,,,,,,,
12100.0,,,,,,,,,,,,,,,,,
12102.0,,,,,,,,,,,,,,,,,
12109.0,,,,,,,,,,,,,,,,,
12110.0,,,,,,,,,,,,,,,,,
12134.0,,,,,,,,,,,,,,,,,
12135.0,,,,,,,,,,,,,,,,,
12138.0,,,,,,,,,,,,,,,,,
12139.0,,,,,,,,,,,,,,,,,
12140.0,,,,,,,,,,,,,,,,,
12142.0,,,,,,,,,,,,,,,,,
12150.0,,,,,,,,,,,,,,,,,
12152.0,,,,,,,,,,,,,,,,,
12153.0,,,,,,,,,,,,,,,,,
12155.0,,,,,,,,,,,,,,,,,
12157.0,,,,,,,,,,,,,,,,,
12158.0,,,,,,,,,,,,,,,,,
12161.0,,,,,,,,,,,,,,,,,
12163.0,,,,,,,,,,,,,,,,,
12164.0,,,,,,,,,,,,,,,,,
